history_id,opportunity_id,field,old_value,new_value,created_date,created_by
HIST-0000001,OPP-00001,StageName,,1 - Prospecting,2024-08-26,Rachel Nguyen
HIST-0000002,OPP-00001,CloseDate,,2024-10-29,2024-08-26,Rachel Nguyen
HIST-0000003,OPP-00001,Amount,,4500,2024-08-26,Rachel Nguyen
HIST-0000004,OPP-00001,StageName,1 - Prospecting,2 - Scoping,2024-09-14,Rachel Nguyen
HIST-0000005,OPP-00001,StageName,2 - Scoping,6 - Closed Won,2024-10-29,Rachel Nguyen
HIST-0000006,OPP-00002,StageName,,1 - Prospecting,2026-02-07,Kevin O'Brien
HIST-0000007,OPP-00002,CloseDate,,2026-05-31,2026-02-07,Kevin O'Brien
HIST-0000008,OPP-00002,Amount,,62900,2026-02-07,Kevin O'Brien
HIST-0000009,OPP-00002,CloseDate,2026-05-31,2026-07-01,2026-04-11,Kevin O'Brien
HIST-0000010,OPP-00003,StageName,,1 - Prospecting,2021-07-05,Sarah Mitchell
HIST-0000011,OPP-00003,CloseDate,,2023-03-31,2021-07-05,Sarah Mitchell
HIST-0000012,OPP-00003,Amount,,61800,2021-07-05,Sarah Mitchell
HIST-0000013,OPP-00003,StageName,1 - Prospecting,2 - Scoping,2021-07-31,Sarah Mitchell
HIST-0000014,OPP-00003,StageName,2 - Scoping,7 - Closed Lost,2023-02-04,Sarah Mitchell
HIST-0000015,OPP-00003,CloseDate,2023-03-31,2023-02-04,2023-03-03,Sarah Mitchell
HIST-0000016,OPP-00004,StageName,,1 - Prospecting,2024-07-15,Antonio Rodriguez
HIST-0000017,OPP-00004,CloseDate,,2025-09-30,2024-07-15,Antonio Rodriguez
HIST-0000018,OPP-00004,Amount,,343900,2024-07-15,Antonio Rodriguez
HIST-0000019,OPP-00004,StageName,1 - Prospecting,2 - Scoping,2024-07-30,Antonio Rodriguez
HIST-0000020,OPP-00004,StageName,2 - Scoping,1 - Prospecting,2024-09-08,Antonio Rodriguez
HIST-0000021,OPP-00004,StageName,1 - Prospecting,2 - Scoping,2024-10-19,Antonio Rodriguez
HIST-0000022,OPP-00004,CloseDate,2025-09-30,2025-12-31,2025-09-02,Antonio Rodriguez
HIST-0000023,OPP-00004,CloseDate,2025-12-31,2026-01-31,2025-12-03,Antonio Rodriguez
HIST-0000024,OPP-00004,CloseDate,2026-01-31,2026-04-30,2026-01-17,Antonio Rodriguez
HIST-0000025,OPP-00004,CloseDate,2026-04-30,2026-05-03,2026-04-02,Antonio Rodriguez
HIST-0000026,OPP-00005,StageName,,1 - Prospecting,2022-03-29,James Harrington
HIST-0000027,OPP-00005,CloseDate,,2022-05-30,2022-03-29,James Harrington
