opportunity_id,opportunity_name,account_id,amount,created_date,close_date,status,stage,probability
OPP-00001,Colorado Department of Transportation – Managed Services Contract,ACC-0045,45000,2024-08-26,2024-10-29,Won,6 - Closed Won,100
OPP-00002,Cornerstone Health Network – CRM Rollout,ACC-0012,629000,2026-02-07,2026-07-01,Open,1 - Prospecting,10
OPP-00003,Keystone Apparel Group – Infrastructure Refresh,ACC-0061,618000,2021-07-05,2023-02-04,Lost,7 - Closed Lost,0
OPP-00004,Northgate Supermarkets – ERP Implementation,ACC-0075,3439000,2024-07-15,2026-05-03,Open,2 - Scoping,15
OPP-00005,Skyline Electronics – Data Analytics Platform,ACC-0077,396000,2022-03-29,2022-05-30,Lost,7 - Closed Lost,0
OPP-00006,Georgia Department of Revenue – Infrastructure Refresh,ACC-0039,69000,2021-08-30,2023-04-21,Lost,7 - Closed Lost,0
OPP-00007,Northstar Service Solutions – CRM Rollout,ACC-0094,49000,2024-03-15,2026-01-13,Won,6 - Closed Won,100
OPP-00008,Goldstone Jewelry Retail – Business Intelligence Suite,ACC-0073,697000,2021-05-03,2023-02-10,Won,6 - Closed Won,100
OPP-00009,Highfield Consumer Goods – Network Infrastructure Upgrade,ACC-0071,2885000,2023-08-12,2025-04-17,Lost,7 - Closed Lost,0
OPP-00010,Hillsborough County Government – Security Assessment,ACC-0041,331000,2024-12-02,2025-08-23,Won,6 - Closed Won,100
OPP-00011,Highfield Consumer Goods – CRM Rollout,ACC-0071,3244000,2025-02-02,2026-05-22,Open,1 - Prospecting,10
OPP-00012,Cedar Valley Hospital – Training & Enablement Program,ACC-0015,1277000,2025-03-31,2025-10-07,Won,6 - Closed Won,100
OPP-00013,Silverline Home Goods – Workforce Optimization Platform,ACC-0059,8418000,2021-06-08,2023-01-15,Lost,7 - Closed Lost,0
OPP-00014,Maricopa County Government - Upper Midwest Branch – Compliance Program,ACC-0118,14000,2022-12-19,2024-09-02,Lost,7 - Closed Lost,0
OPP-00015,Lakewood Consumer Electronics – CRM Rollout,ACC-0063,7292000,2022-07-07,2023-11-19,Lost,7 - Closed Lost,0
OPP-00016,Harborview Medical Center – Infrastructure Refresh,ACC-0008,2106000,2024-08-18,2026-04-16,Open,5 - Negotiation,80
OPP-00017,Summit Outdoor Retailers – Training & Enablement Program,ACC-0062,1961000,2025-12-22,2026-06-26,Open,2 - Scoping,15
OPP-00018,Allegheny County Services – Security Assessment,ACC-0050,248000,2023-10-09,2023-12-23,Won,6 - Closed Won,100
OPP-00019,Coastal Medical Alliance – Training & Enablement Program,ACC-0017,158000,2023-03-12,2024-08-16,Won,6 - Closed Won,100
OPP-00020,Crestwood Department Stores – Security Assessment,ACC-0057,406000,2021-10-08,2023-01-06,Lost,7 - Closed Lost,0
OPP-00021,Silvercreek Customer Services – Data Analytics Platform,ACC-0098,112000,2024-10-30,2025-12-08,Lost,7 - Closed Lost,0
OPP-00022,Apex Medical Associates – Infrastructure Refresh,ACC-0011,609000,2024-09-10,2025-05-21,Won,6 - Closed Won,100
OPP-00023,Broadleaf Book & Media – Network Infrastructure Upgrade,ACC-0078,304000,2021-01-09,2021-06-22,Lost,7 - Closed Lost,0
OPP-00024,Sunstone Pet Supplies – Professional Services Engagement,ACC-0080,2748000,2021-09-15,2023-09-07,Lost,7 - Closed Lost,0
OPP-00025,Crestview Service Partners – Digital Transformation Initiative,ACC-0089,109000,2023-07-25,2025-07-05,Lost,7 - Closed Lost,0
OPP-00026,Crestwood Department Stores – Cloud Migration,ACC-0057,569000,2023-09-14,2025-07-09,Lost,7 - Closed Lost,0
OPP-00027,Riverside Community Hospital – ERP Implementation,ACC-0009,1082000,2021-11-29,2022-04-05,Lost,7 - Closed Lost,0
OPP-00028,Paramount Health System – Professional Services Engagement,ACC-0013,397000,2024-01-04,2024-05-01,Lost,7 - Closed Lost,0
OPP-00029,Pinnacle Healthcare Group – Security Assessment,ACC-0004,2037000,2024-06-11,2025-07-16,Won,6 - Closed Won,100
OPP-00030,Nexus Support Services - Central Region – Training & Enablement Program,ACC-0144,36000,2023-08-30,2024-01-17,Won,6 - Closed Won,100
OPP-00031,Westfield Service Alliance - Great Plains Branch – CRM Rollout,ACC-0154,12000,2023-09-18,2024-08-17,Won,6 - Closed Won,100
OPP-00032,Greenfield Health Partners - Western Region – ERP Implementation,ACC-0106,39000,2023-09-08,2025-08-31,Won,6 - Closed Won,100
OPP-00033,Stonegate Healthcare – Workforce Optimization Platform,ACC-0027,1382000,2023-01-11,2023-06-25,Lost,7 - Closed Lost,0
OPP-00034,Pinnacle Healthcare Group – Security Assessment,ACC-0004,1239000,2024-08-09,2024-11-25,Lost,7 - Closed Lost,0
OPP-00035,Millstone Department Stores – Compliance Program,ACC-0070,1820000,2022-12-30,2023-08-30,Lost,7 - Closed Lost,0
OPP-00036,Blue Ridge Grocery Chain – Infrastructure Refresh,ACC-0068,3929000,2024-06-09,2025-01-09,Lost,7 - Closed Lost,0
OPP-00037,Crestwood Department Stores – Systems Integration,ACC-0057,1146000,2022-02-14,2023-08-13,Lost,7 - Closed Lost,0
OPP-00038,Pinnacle Healthcare Group – Systems Integration,ACC-0004,88000,2022-07-27,2023-12-07,Won,6 - Closed Won,100
OPP-00039,Sunstone Pet Supplies – Network Infrastructure Upgrade,ACC-0080,2962000,2025-07-14,2026-08-03,Open,5 - Negotiation,80
OPP-00040,Apex Medical Associates – Training & Enablement Program,ACC-0011,424000,2023-08-21,2024-03-24,Lost,7 - Closed Lost,0
OPP-00041,Nexus Support Services – Business Intelligence Suite,ACC-0083,340000,2025-09-18,2025-10-03,Lost,7 - Closed Lost,0
OPP-00042,Wisconsin Department of Education – Digital Transformation Initiative,ACC-0048,232000,2025-09-06,2026-08-25,Open,1 - Prospecting,10
OPP-00043,Ridgemont Healthcare - Atlantic Division – Business Intelligence Suite,ACC-0111,408000,2023-09-07,2024-03-22,Lost,7 - Closed Lost,0
OPP-00044,King County Government – Systems Integration,ACC-0047,287000,2025-01-18,2026-03-14,Lost,7 - Closed Lost,0
OPP-00045,Redwood Specialty Foods - Mountain Region – Professional Services Engagement,ACC-0141,387000,2021-12-15,2022-05-09,Won,6 - Closed Won,100
OPP-00046,Northgate Supermarkets - Atlantic Division – Training & Enablement Program,ACC-0134,286000,2021-10-27,2023-07-30,Lost,7 - Closed Lost,0
OPP-00047,Crestview Service Partners – ERP Implementation,ACC-0089,52000,2024-01-29,2025-08-27,Won,6 - Closed Won,100
OPP-00048,Falcon Medical Associates - Central Region – Data Analytics Platform,ACC-0114,63000,2021-07-30,2023-02-04,Lost,7 - Closed Lost,0
OPP-00049,Keystone Apparel Group – Cloud Migration,ACC-0061,6816000,2025-08-19,2025-12-20,Won,6 - Closed Won,100
OPP-00050,City of Charlotte Planning – Digital Transformation Initiative,ACC-0040,22000,2024-04-16,2025-03-30,Won,6 - Closed Won,100
OPP-00051,City of Jacksonville Finance - Atlantic Division – Business Intelligence Suite,ACC-0123,4000,2025-02-24,2026-03-08,Lost,7 - Closed Lost,0
OPP-00052,Skyline Electronics – Data Analytics Platform,ACC-0077,891000,2023-05-12,2024-10-21,Won,6 - Closed Won,100
OPP-00053,Highfield Consumer Goods – Compliance Program,ACC-0071,106000,2023-06-21,2024-01-09,Lost,7 - Closed Lost,0
OPP-00054,Falcon Medical Associates - Central Region – Managed Services Contract,ACC-0114,16000,2023-08-28,2025-06-06,Lost,7 - Closed Lost,0
OPP-00055,Harborview Medical Center – Compliance Program,ACC-0008,2050000,2023-12-23,2025-07-28,Lost,7 - Closed Lost,0
